Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,15pF,C_0402_1005Metric,189.360000,-64.680000,180.000000,top
C2,15pF,C_0402_1005Metric,189.370000,-66.150000,180.000000,top
C3,100nF,C_0402_1005Metric,191.990000,-60.750000,0.000000,top
C4,100nF,C_0402_1005Metric,191.990000,-62.920000,0.000000,top
C5,10uF,C_0402_1005Metric,193.670000,-88.790000,90.000000,top
C6,100nF,C_0402_1005Metric,192.090000,-88.790000,90.000000,top
C7,100nF,C_0402_1005Metric,203.730000,-88.790000,90.000000,top
C8,10uF,C_0402_1005Metric,202.340000,-88.790000,90.000000,top
C9,100nF,C_0402_1005Metric,203.940000,-66.200000,180.000000,top
C10,100nF,C_0402_1005Metric,194.520000,-58.040000,-90.000000,top
C11,47pF,C_0402_1005Metric,193.470000,-58.030000,-90.000000,top
C12,100nF,C_0402_1005Metric,191.990000,-61.835000,0.000000,top
C13,10nF,C_0402_1005Metric,195.790000,-58.005000,90.000000,top
C14,47pF,C_0402_1005Metric,196.850000,-58.025000,90.000000,top
C15,2.2pF,C_0402_1005Metric,202.050000,-58.610000,180.000000,top
C16,33pF,C_0402_1005Metric,199.960000,-58.140000,-90.000000,top
C17,4.7pF,C_0402_1005Metric,200.410000,-54.690000,0.000000,top
C18,100nF,C_0402_1005Metric,203.950000,-67.450000,0.000000,top
C19,100nF,C_0402_1005Metric,190.880000,-70.890000,180.000000,top
C20,100nF,C_0402_1005Metric,204.830000,-75.190000,-90.000000,top
C21,100nF,C_0402_1005Metric,210.160000,-63.860000,0.000000,top
C30,100nF,C_0402_1005Metric,194.790000,-80.140000,-90.000000,top
C31,1uF,C_0402_1005Metric,193.670000,-80.130000,-90.000000,top
C32,100nF,C_0402_1005Metric,190.960000,-73.910000,180.000000,top
C33,20pF,C_0402_1005Metric,177.800000,-82.690000,90.000000,top
C34,20pF,C_0402_1005Metric,192.740000,-82.670000,90.000000,top
C35,20pF,C_0402_1005Metric,182.850000,-68.550000,180.000000,top
C36,20pF,C_0402_1005Metric,183.930000,-75.620000,180.000000,top
C37,100nF,C_0402_1005Metric,186.400000,-60.930000,-90.000000,top
C38,1.8pF,C_0402_1005Metric,200.390000,-51.680000,0.000000,top
C39,100nF,C_0402_1005Metric,211.790000,-91.980000,0.000000,top
C40,100nF,C_0402_1005Metric,181.980000,-86.280000,90.000000,top
D1,LED,LED_1206_3216Metric,214.510000,-86.310000,90.000000,top
D2,LED,LED_1206_3216Metric,211.120000,-86.310000,-90.000000,top
J1,10118192-0001LF,AMPHENOL_10118192-0001LF,198.000000,-92.885000,0.000000,top
J2,U.FL-R-SMT-1(10),HRS_U.FL-R-SMT-1(10),199.940000,-48.800000,0.000000,top
J3,Conn_01x04_Socket,PinHeader_1x04_P2.54mm_Vertical,208.850000,-94.640000,90.000000,top
J4,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,215.175000,-76.355000,180.000000,top
J5,Conn_01x02_Socket,PinHeader_1x02_P2.54mm_Vertical,184.125000,-94.880000,90.000000,top
J6,Conn_01x11_Socket,PinHeader_1x11_P2.54mm_Vertical,175.000000,-67.270000,0.000000,top
J7,Conn_01x11_Socket,PinHeader_1x11_P2.54mm_Vertical,221.000000,-67.270000,0.000000,top
L1,33nH,L_0402_1005Metric,198.420000,-58.570000,0.000000,top
L2,6.8nH,L_0402_1005Metric,203.040000,-60.855000,0.000000,top
L3,10nH,L_0402_1005Metric,199.950000,-56.190000,90.000000,top
L4,6.2nH,L_0402_1005Metric,199.940000,-53.170000,90.000000,top
R1,10k,R_0402_1005Metric,184.120000,-64.540000,180.000000,top
R2,1M,R_0402_1005Metric,192.870000,-78.020000,-90.000000,top
R3,100k,R_0402_1005Metric,214.615000,-79.435000,-90.000000,top
R4,100k,R_0402_1005Metric,213.375000,-79.435000,90.000000,top
R5,20,R_0402_1005Metric,205.130000,-90.930000,0.000000,top
R6,20,R_0402_1005Metric,205.110000,-92.010000,0.000000,top
R7,4.7k,R_0402_1005Metric,205.130000,-93.140000,0.000000,top
R8,510,R_0402_1005Metric,216.920000,-85.430000,-90.000000,top
R9,510,R_0402_1005Metric,208.470000,-85.430000,-90.000000,top
R10,120,R_0402_1005Metric,185.470000,-92.300000,180.000000,top
R12,10k,R_0402_1005Metric,211.680000,-66.390000,180.000000,top
R13,10k,R_0402_1005Metric,214.680000,-66.520000,0.000000,top
SW1,SW_Push,SW_SPST_TL3342,181.450000,-60.820000,0.000000,top
U1,STM32F103C8T6,QFP50P900X900X160-48N,198.000000,-73.520000,45.000000,top
U2,SX1276,QFN65P600X600X100-29N,198.000000,-63.180000,0.000000,top
U3,AMS1117-3.3,SOT229P700X180-4N,198.000000,-85.490000,90.000000,top
U4,SN65HVD230D,SOIC127P599X175-8N,185.480000,-87.775000,-90.000000,top
U5,AHT20,PSON100P300X300X110-6N,213.220000,-63.870000,0.000000,top
XTAL1,NX2016SA-32M-EXS00A-CS06465,NX2016SA_NDK,191.970000,-65.430000,90.000000,top
Y1,X49SD8MSD2SC,X49SD8MSD2SC,182.880000,-80.350000,0.000000,top
Y2,MC-306_32.7680K-A0:ROHS,XTAL_MC-306_32.7680K-A0,185.190000,-72.050000,90.000000,top
